Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Ahrefs DR","Ahrefs UR","Ahrefs RD","Ahrefs BL","Ahrefs Traffic","Ahrefs Positions","Ahrefs Cost","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
valhallapow.com,"GoDaddy Auctions",25,17,1021,117,"Sports/Winter Sports: 24
Recreation/Travel: 16","English: 97.5%
German: 1.3%
Finnish: 0.3%
French: 0.1%
Italian: 0.1%
Swedish: 0.1%",,25,26,149,1438,0,4,0,30,29,20,37,0,20,2,0,9,717,34,63,0,0,0,09/13/2022,$355,"09/23/2022 20:34:00"
latexeditor.org,"GoDaddy Auctions",30,20,6462,763,"Computers/Software/Typesetting: 30","English: 44.2%
German: 24.9%
Polish: 5.7%
Estonian: 4.2%
French: 4%
Danish: 2.5%
Czech: 1.9%
Italian: 1.7%
Spanish: 1.6%
Vietnamese: 1.6%","English: 100%",38,27,1313,6385,27,205,301,43,43,17,0,0,17,2,0,29,15225,438,589,0,0,0,09/14/2022,$455,"09/23/2022 19:18:00"
gameonsoftware.com,"GoDaddy Auctions",25,17,2032,129,"Games/Video Games/Downloads: 25","Turkish: 59.6%
English: 35.3%
German: 2.4%
Polish: 0.7%
Russian: 0.4%
Italian: 0.3%
Spanish: 0.3%
Czech: 0.1%
French: 0.1%
Swedish: 0.1%","English: 100%",15,14,174,1465,0,0,0,30,31,19,39,0,19,2,0,6,3801,18,32,0,1,1,09/16/2022,$115,"09/26/2022 17:52:00"
alzheimer-online.org,"GoDaddy Auctions",30,22,698,92,"Health/Conditions and Diseases: 30
Health: 15","Spanish: 95.5%
Catalan: 2.5%
English: 1.2%
Italian: 0.3%
Basque: 0.2%
Japanese: 0.1%","English: 100%",25,13,245,6152,0,0,0,34,33,20,0,0,20,2,0,,1345,3,93,1,0,0,09/17/2022,$2000,"09/23/2022 19:00:00"
scottsvilleky.org,"DropCatch Dropped",20,13,142,69,"Society/Government: 20
Reference/Education: 12
Reference/Museums: 8","English: 97.1%
German: 1.4%
French: 0.7%
Spanish: 0.7%","English: 100%",22,18,169,394,0,0,0,30,30,20,1,0,20,2,1,,556,30,56,0,6,1,09/20/2022,$36,"09/23/2022 21:21:16"
chosinreservoir.com,"GoDaddy Auctions",25,14,278,80,"Society/History: 25
Society/Military: 13","English: 94.5%
Chinese: 1.8%
Russian: 1.8%
French: 0.9%
Esperanto: 0.4%
Korean: 0.4%",,22,19,229,632,0,0,0,31,34,20,0,0,20,2,1,1,1108,12,27,0,0,0,09/21/2022,$880,"09/27/2022 19:01:00"
219west.com,"GoDaddy Auctions",24,15,222,77,"Recreation/Food: 24
Computers/Internet/Web Design and Development: 14","English: 100%",,12,24,123,745,0,0,0,36,33,18,30,0,18,2,0,1,360,123,169,0,0,0,09/21/2022,$12,"10/01/2022 19:40:00"
tarawaontheweb.org,"Namejet PreRelease",25,23,799,147,"Society/History: 25
Society/Military: 12","English: 67.1%
Chinese: 11.1%
Spanish: 8.2%
Polish: 6.8%
German: 1.5%
Russian: 0.6%
Czech: 0.6%
French: 0.4%
Finnish: 0.4%
Japanese: 0.4%","Indonesian: 85%
English: 10%
Malay: 5%",18,34,371,2473,0,0,0,33,39,19,0,0,19,2,0,6,3478,936,1753,6,0,0,09/21/2022,$69,"09/26/2022 18:00:00"
lirrhistory.com,"DropCatch Dropped",25,17,2020,199,"Recreation/Trains and Railroads: 25
Business/Transportation and Logistics: 16","English: 91%
Japanese: 6%
Russian: 1.5%
Indonesian: 0.5%
French: 0.3%
Finnish: 0.1%","English: 100%",23,23,361,9094,0,7,0,30,34,23,0,0,23,2,3,4,14270,77,398,5,1,1,09/21/2022,$60,"09/24/2022 21:21:42"
newmoon.org,"GoDaddy Auctions",20,18,1123,215,"Arts/Literature: 18
Society/Issues: 18
Health/Women's Health: 17
Health: 14
Society/People: 14
Reference/Education: 12
Shopping/Gifts: 12
Health/Reproductive Health: 12
Health/Mental Health: 11
Society/History: 11","English: 98.1%
Chinese: 0.5%
Spanish: 0.3%
Portuguese: 0.1%",,33,23,347,5261,26,6,790,32,33,25,158,0,25,3,0,3,2651,160,195,0,0,0,09/14/2022,$690,"09/25/2022 20:22:00"
fortworthsouth.org,"GoDaddy Auctions",29,21,337,91,"Science/Social Sciences: 29
Arts/Visual Arts: 15","English: 100%","English: 100%",33,19,256,2148,1,5,0,33,31,22,43,0,22,3,0,,2318,59,91,12,9,4,09/17/2022,$12,"09/28/2022 19:37:00"
